geometry,Adres,Plaats,Gebruiksdoel,Objectsoort,FUNCTIE,FUNCTIE_ID,Oppervlakte,HEX,Buurtcode,Verblijfsobject
POINT (52.3832159 4.850321),Admiraal De Ruijterweg 408,Amsterdam,bijeenkomstfunctie|woonfunctie,Kelder|Woning,Maatschappelijke bijeenkomst,Y,1668,10,EE02,0363010012080386
POINT (52.3963201 4.85017),Zekeringstraat 39A,Amsterdam,kantoorfunctie,Kantoor,Kantoren,K,854,8,BB07,0363010001002870
POINT (52.357316 4.850655),Surinameplein 59,Amsterdam,industriefunctie,Kantine|Kantoor|Opslag/magazijn,Bedrijven,B,227,6,KA02,0363010000824139
POINT (52.3667251 4.850542),Willem Schoutenstraat 53,Amsterdam,winkelfunctie,Overige ruimten|Winkel/verkoopruimte,Detailhandel,D,67,4,EM03,0363010000872689
POINT (52.368873 4.850516),Mercatorplein 19,Amsterdam,kantoorfunctie,Kantoor,Kantoren,K,48,4,EM01,0363010000984303
POINT (52.393246 4.850222),Isolatorweg 29,Amsterdam,bijeenkomstfunctie,Dagkeuken/pantry|Kantoor|Opslag/magazijn|Technische installatieruimte|Zaal (horeca),Ontspanning en vermaak,C,3731,12,EA01,0363010011117175
POINT (52.349263 4.850767),Rietwijkerstraat 8/H,Amsterdam,winkelfunctie,Praktijkruimte,Zorg,Z,69,4,KA05,0363010000792366
POINT (52.340492 4.850888),IJsbaanpad 45,Amsterdam,sportfunctie,Zaal/Collegezaal,Sport,S,25239,26,KH06,0363010001025245
POINT (52.35089 4.850762),Hoofddorpweg 25/H,Amsterdam,winkelfunctie,Winkel/verkoopruimte,Detailhandel,D,52,4,KA05,0363010000670629
POINT (52.35116 4.850759),Hoofddorpweg 30/H,Amsterdam,winkelfunctie,Cafetaria,Horeca,H,55,4,KA03,0363010000670643
POINT (52.334516 4.850974),Jollenpad 14,Amsterdam,bijeenkomstfunctie,Club-/verenigingsgebouw,Ontspanning en vermaak,C,271,6,KQ01,0363010003720220
POINT (52.3703301 4.850542),Mercatorplein 94,Amsterdam,winkelfunctie,Winkel/verkoopruimte,Detailhandel,D,90,5,EK03,0363010000675393
POINT (52.396815 4.850222),Zekeringstraat 38,Amsterdam,onderwijsfunctie,Schoolgebouw,Onderwijs,O,4340,12,BB07,0363010012087648
POINT (52.380153 4.850438),Hofwijckstraat 38,Amsterdam,winkelfunctie|woonfunctie,Overige ruimten|Winkel/verkoopruimte,Detailhandel,D,52,4,EE01,0363010000669226
POINT (52.3574241 4.8507269),Surinameplein 57,Amsterdam,gezondheidszorgfunctie,Kantoor,Zorg,Z,892,8,KA02,0363010000824135
POINT (52.3574871 4.8507271),Surinameplein 55A/1,Amsterdam,kantoorfunctie,,Kantoren,K,27,3,KA02,0363010000980153
POINT (52.357658 4.850725),Surinameplein 53,Amsterdam,logiesfunctie,Hotelkamer|Opslag/magazijn|Restaurant,Logies,L,1261,9,KA02,0363010000823986
POINT (52.353542 4.850789),Weissenbruchstraat 18/H,Amsterdam,winkelfunctie,Opslag/magazijn|Winkel/verkoopruimte,Detailhandel,D,25,3,KA03,0363010000864875
POINT (52.368872 4.8506089),Mercatorplein 15,Amsterdam,winkelfunctie,Winkel/verkoopruimte,Detailhandel,D,35,4,EM01,0363010012092648
POINT (52.334767 4.85103),Jollenpad 13,Amsterdam,industriefunctie,Opslag/magazijn,Bedrijven,B,2353,10,KQ01,0363010000694951
POINT (52.369853 4.8506069),Mercatorplein 102,Amsterdam,winkelfunctie,Winkel/verkoopruimte,Detailhandel,D,67,4,EM02,0363010000957417
POINT (52.364943 4.850668),Orteliuskade 5,Amsterdam,bijeenkomstfunctie,Cafe/bar,Horeca,H,65,4,EM03,0363010012098336
